                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.2623,                 2.8721,                 1.2142,                0.43888,                 0.1017,                0.20988,                0.15539,                 1.0974,                    2.8,                 1.0489,             0.00023547,             0.00023547,             0.00023547
                      2,                 1.2465,                 2.2101,                 1.1747,                0.35662,                0.24372,                0.24382,                0.16835,                 1.1545,                 2.1613,                 1.1329,             0.00046878,             0.00046878,             0.00046878
                      3,                 1.2909,                 2.1516,                 1.2154,                0.31944,                 0.3042,                0.26039,                0.17897,                 1.1812,                 1.9554,                 1.1218,             0.00069738,             0.00069738,             0.00069738
                      4,                 1.3094,                   1.99,                 1.2003,                0.29192,                0.30977,                0.25405,                0.17209,                 1.1805,                 1.9397,                 1.1404,             0.00069279,             0.00069279,             0.00069279
                      5,                 1.1879,                 1.8172,                 1.1538,                0.58101,                0.23736,                0.27091,                0.18627,                 1.1732,                 1.8341,                 1.1179,             0.00069279,             0.00069279,             0.00069279
                      6,                 1.1415,                 1.6737,                 1.1445,                0.38645,                0.32056,                 0.2976,                0.21118,                 1.1324,                 1.7781,                  1.109,             0.00068573,             0.00068573,             0.00068573
                      7,                 1.2831,                 1.8367,                  1.198,                0.56899,                0.27933,                0.30683,                0.21456,                 1.1247,                 1.7053,                  1.083,             0.00067866,             0.00067866,             0.00067866
                      8,                 1.2208,                 1.7466,                 1.1503,                0.38138,                 0.3506,                0.31596,                0.22362,                 1.1085,                 1.6296,                 1.0968,             0.00067159,             0.00067159,             0.00067159
                      9,                 1.1541,                 1.5924,                 1.1414,                0.48204,                0.32192,                0.33779,                0.23702,                 1.0971,                  1.479,                 1.0728,             0.00066452,             0.00066452,             0.00066452
                     10,                 1.1668,                 1.6436,                 1.1396,                0.44675,                0.33586,                0.32603,                0.22689,                 1.0972,                 1.6353,                 1.0833,             0.00065745,             0.00065745,             0.00065745
                     11,                 1.2368,                 1.6174,                 1.1643,                0.40341,                0.32751,                0.31974,                0.22723,                 1.0865,                 1.5901,                   1.09,             0.00065038,             0.00065038,             0.00065038
                     12,                 1.2248,                 1.6012,                 1.1599,                0.43201,                0.35557,                0.34778,                0.24985,                  1.059,                 1.4461,                  1.057,             0.00064331,             0.00064331,             0.00064331
                     13,                 1.1346,                 1.5432,                 1.1361,                0.45648,                0.35376,                0.35159,                0.25035,                 1.0522,                 1.4475,                 1.0636,             0.00063625,             0.00063625,             0.00063625
                     14,                 1.1912,                 1.5272,                 1.1398,                0.40579,                0.37886,                0.35765,                0.26365,                 1.0099,                   1.36,                 1.0391,             0.00062918,             0.00062918,             0.00062918
                     15,                 1.1592,                 1.4471,                   1.15,                0.39354,                 0.3696,                0.35031,                0.25664,                 1.0191,                 1.3646,                 1.0464,             0.00062211,             0.00062211,             0.00062211
                     16,                 1.1407,                 1.4883,                 1.1216,                0.55591,                0.33848,                0.36658,                0.26642,                 1.0289,                 1.4162,                 1.0525,             0.00061504,             0.00061504,             0.00061504
                     17,                  1.164,                 1.5067,                 1.1278,                0.54991,                0.34696,                0.37574,                0.27387,                 1.0125,                  1.299,                 1.0401,             0.00060797,             0.00060797,             0.00060797
                     18,                 1.0635,                  1.365,                 1.0986,                0.63258,                0.32728,                0.38553,                0.28649,                0.97944,                 1.3033,                 1.0177,              0.0006009,              0.0006009,              0.0006009
